id,event_date,source,description,is_demo_data,label,elevation,slope,rainfall_24h,rainfall_72h,lat,lon
syn_0,2020-06-22,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1582.3555,89.99002,21.748627,119.20517,25.500822550965445,92.75128677508334
syn_1,2021-08-29,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1900.0,89.9999,61.641853,113.456955,25.112064713521253,92.62937074067257
syn_2,2019-07-30,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1181.1819,89.99788,6.1236186,17.347542,25.54141919781027,92.86408381832224
syn_3,2017-07-20,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1213.6097,89.99689,91.077866,105.35252,25.401678539546403,93.41794129187332
syn_4,2016-06-23,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1462.5912,89.9969,97.009834,192.45233,25.488923896038983,92.7697076403638
syn_5,2020-08-30,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1164.2366,89.99644,12.765596,106.70532,25.63951068681645,92.9640520229819
syn_6,2023-08-18,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1257.1011,89.99244,89.71814,97.81388,25.6227152565443,92.97234775834151
syn_7,2022-06-23,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,880.76794,89.992874,0.69201374,41.4632,25.41073683313237,92.98091302764489
syn_8,2019-09-24,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1057.6726,89.99737,4.0949917,56.95755,25.51514134216932,93.17410029576735
syn_9,2016-06-09,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,816.362,89.994545,91.089424,182.64697,25.506581169027257,93.11347524516394
syn_10,2021-09-21,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1244.2631,89.9999,57.360424,105.071045,25.53621664438918,92.64558898084388
syn_11,2017-07-16,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1158.184,89.993095,53.747704,115.57004,25.334691235945545,92.93719113443065
syn_12,2018-09-06,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1669.3553,89.9982,27.814718,73.99061,25.010186255784454,93.23065055468678
syn_13,2021-12-12,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,821.5068,89.99989,11.302554,25.279827,25.765870514357882,93.06978717857508
syn_14,2015-08-18,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1063.2434,89.9965,15.865248,111.47585,25.314454219601927,93.19774287844773
syn_15,2021-06-26,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1292.4552,89.99694,56.07381,127.285416,25.111551485434394,93.20562588057265
syn_16,2015-09-24,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,854.33887,89.983284,63.735603,134.51863,25.45574853458,93.1320496581716
syn_17,2022-08-16,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1096.6029,89.99315,58.637955,141.43256,25.670839605718992,92.92679295019433
syn_18,2016-09-22,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1670.3931,89.98857,11.5446615,76.62063,25.739489654589782,92.88787571410454
syn_19,2022-08-03,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1087.9143,89.99513,45.94966,89.949646,25.405319947821823,93.34361847238507
syn_20,2022-07-09,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1322.3569,89.9999,22.347029,92.78556,25.77852032849154,93.01421416160906
syn_21,2021-09-25,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1153.1648,89.99715,84.79855,163.43945,25.207088600316013,93.17214303952841
syn_22,2018-08-02,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1277.3317,89.99749,50.456116,54.135433,25.631725666511706,92.91354544197647
syn_23,2015-06-09,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1353.6135,89.99818,38.49861,78.46051,25.483568642788022,92.8331053247991
syn_24,2016-08-28,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,738.1229,89.99743,81.521416,134.46667,25.75993543241926,92.98629703318751
syn_25,2016-09-08,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1430.426,89.998024,27.866613,32.574417,25.031054320756382,93.16514887946751
syn_26,2017-07-26,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1692.7611,89.99724,40.80509,55.68904,25.192686975621562,93.16963572238745
syn_27,2019-07-22,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1160.2048,89.99585,8.854851,80.207565,25.369549537544938,93.26090649172099
syn_28,2019-09-27,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1274.8898,89.9897,63.90952,163.28415,25.48662923119277,93.03587286660391
syn_29,2017-06-26,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1109.6676,89.975624,2.0097768,2.3725383,25.65015789285593,93.12232004673548
syn_30,2021-07-12,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1074.06,89.99747,53.911083,117.87291,25.66738868601203,92.832611144317
syn_31,2024-06-15,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,962.4206,89.844315,86.08907,132.2243,25.32431024204318,92.86263537600789
syn_32,2020-06-02,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1320.5131,89.99646,15.745664,46.55641,25.126240399142972,93.18590973485729
syn_33,2019-07-24,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1239.5043,89.99759,31.555292,34.406624,25.16381603749094,93.30547759721932
syn_34,2019-07-17,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1456.4845,89.99857,23.597551,84.669106,25.14371899507107,93.00943804494213
syn_35,2018-08-28,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1701.4907,89.997696,33.357,122.69026,25.1193255378574,92.77915535932088
syn_36,2015-09-27,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1649.5621,89.99707,89.65315,102.74613,25.399938007682344,92.72947733736858
syn_37,2021-09-23,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1151.2587,89.99458,31.907482,64.63483,25.50678155847854,93.01094018690206
syn_38,2020-09-21,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,893.79877,89.99993,23.623446,56.12706,25.722465748627734,93.13788455115402
syn_39,2021-03-28,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1172.5671,89.9979,41.481792,137.46288,25.6044616397332,92.93455991798349
syn_40,2019-07-14,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1212.8788,89.998695,96.54227,160.68091,25.766361090992007,92.97493552473435
syn_41,2022-06-18,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1377.0282,89.99993,90.91546,152.36398,25.35870859262795,92.75035515395797
syn_42,2020-06-02,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1011.5431,89.99709,95.65806,105.91038,25.15370945989851,93.2372235745571
syn_43,2020-08-19,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,948.90845,89.991325,63.706406,119.29137,25.532515229136482,92.77662344042321
syn_44,2016-08-25,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,885.70154,89.99303,82.96899,169.1101,25.63267340121557,93.14960180530876
syn_45,2022-06-22,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,881.07135,89.995834,47.422565,126.7157,25.389756828183234,92.87594300960622
syn_46,2019-06-28,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,764.4245,89.99673,38.342438,95.9488,25.499672231605633,93.11803645588026
syn_47,2019-07-13,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1408.9984,89.99993,45.656437,65.96394,25.26012157440232,93.39130333326747
syn_48,2020-06-19,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1259.0449,89.99875,1.596815,24.606857,25.426204585535462,93.07873938572274
syn_49,2020-07-19,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1328.9204,89.977005,69.07473,79.11425,25.152259154539568,93.25772363661923
syn_50,2018-07-01,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,865.9003,89.996506,14.965218,97.262115,25.648246591352912,93.0059565556511
syn_51,2023-06-14,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1031.315,89.99695,16.877548,90.87697,25.391811557456094,93.04782394961562
syn_52,2023-08-22,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1385.606,89.99345,76.40504,170.77916,25.233359723208967,93.20792695869159
syn_53,2023-07-15,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1623.034,89.9985,5.2470465,104.695175,25.30466249878134,93.34177384638829
syn_54,2018-09-04,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1509.4739,89.99506,72.932396,84.6172,25.5723028330862,92.72309518436364
syn_55,2018-12-25,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1262.6495,89.995865,57.133224,144.85115,25.401890384460263,93.12996036551169
syn_56,2016-09-28,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1451.816,89.9984,4.797217,74.173744,25.6870415602616,93.10030051981067
syn_57,2023-09-03,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,982.10046,89.99725,99.6924,110.80103,25.306966616118384,93.15755454178407
syn_58,2021-06-15,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,983.55035,89.99596,12.320809,105.21864,25.279853858153505,93.36001261997912
syn_59,2020-07-02,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1526.8447,89.996864,33.163418,53.81514,25.41131817725147,92.94429196620773
syn_60,2020-09-29,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1035.3638,89.9935,85.66491,131.16328,25.552335160874854,93.03454339244034
syn_61,2022-08-19,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,949.34314,89.99286,1.2081304,93.4007,25.72515622985031,93.07181210193573
syn_62,2016-07-23,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1679.1237,89.99035,17.214956,98.91996,25.137021184180323,92.79929718593232
syn_63,2022-09-29,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1332.498,89.99523,23.25824,93.53265,25.3000229259241,93.18593499385152
syn_64,2021-08-28,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1187.7874,89.98108,59.326035,66.64813,25.621293939795628,93.07722585497827
syn_65,2023-06-05,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1498.5844,89.996574,0.05403485,97.426216,25.073721015711197,93.05797043719008
syn_66,2020-10-04,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,826.11505,89.9955,26.383104,43.524147,25.420408649189056,92.9968920254057
syn_67,2016-08-04,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1321.3434,89.98983,34.570816,71.55606,25.270285044619026,93.20472112079432
syn_68,2022-07-09,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1027.4562,89.99666,67.19922,165.33017,25.343844084292016,93.1957059828892
syn_69,2021-07-27,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1273.6425,89.99713,10.886658,54.3958,25.17199734161994,93.27732154615941
syn_70,2018-07-08,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1027.6776,89.99644,89.25466,182.65927,25.25799275022972,93.21190013718483
syn_71,2019-06-18,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,958.4776,89.99617,72.0968,125.40915,25.500773049041037,93.25667419940123
syn_72,2018-07-24,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,980.52216,89.892586,32.251324,128.15633,25.624467832262724,92.8513612977674
syn_73,2023-09-26,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1218.0897,89.99689,33.388165,55.066383,25.247609301459192,93.25005913469852
syn_74,2018-06-14,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1294.1212,89.99656,80.54713,81.88879,25.243216884062328,93.22203680777393
syn_75,2023-06-30,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1621.1079,89.997,96.32549,185.21219,25.13330801288374,92.68421521079328
syn_76,2016-08-13,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,889.7811,89.99638,19.731998,58.792152,25.744639517951224,93.06583287607047
syn_77,2020-08-17,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1341.4899,89.998276,99.59427,187.41797,25.546525793301274,92.67982095110273
syn_78,2019-07-01,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,786.71106,89.99637,3.9287264,41.15896,25.740530472685457,93.05213404605483
syn_79,2022-07-27,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1594.2179,89.99483,84.5155,126.8795,25.1954560432602,92.88314150451907
syn_80,2015-06-17,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1422.1118,89.99874,77.916985,158.3042,25.248391276503938,93.07048367853137
syn_81,2022-05-30,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,637.1157,89.99673,68.8603,120.32951,25.735882917154633,93.02297263675374
syn_82,2017-08-19,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1005.81366,89.997,86.153336,120.66351,25.571030146359085,92.92527217451398
syn_83,2020-08-01,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1527.2562,89.993546,87.11938,151.23315,25.058440703793522,93.08173902179996
syn_84,2015-07-08,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1528.4225,89.99752,23.51804,99.22359,25.461757133971304,93.0539729879065
syn_85,2017-06-04,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1487.2876,89.980225,47.209503,124.985596,25.328537311713575,92.82768309961095
syn_86,2024-06-20,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1061.5906,89.99858,59.340073,130.88052,25.375928744883375,92.96826057149038
syn_87,2020-11-05,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1706.4211,89.98069,5.586867,60.548073,25.168405743121085,92.67544624974283
syn_88,2021-09-26,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1331.7787,89.99796,69.70104,101.20979,25.687537553106566,93.01877560508248
syn_89,2023-06-02,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1608.0588,89.995865,57.069965,106.47999,25.19111964871414,93.0338320430047
syn_90,2015-10-06,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1126.546,89.99713,57.69563,73.62727,25.482323158302442,93.13546384274012
syn_91,2019-06-30,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1282.4736,89.99698,17.287312,72.30415,25.052753996605873,93.14592201364214
syn_92,2017-11-13,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1318.4553,89.9932,86.66322,138.9933,25.31792935678092,92.9016745789232
syn_93,2024-09-25,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1031.0537,89.99754,66.01229,136.96692,25.706735096160635,92.96442353016512
syn_95,2020-08-14,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1279.641,89.9999,76.40246,102.86527,25.12341586613681,92.77201428388177
syn_96,2021-04-02,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,786.71106,89.99637,3.9287264,41.15896,25.7459268807003,93.05156547934124
syn_97,2024-06-10,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1040.6508,89.99865,99.372154,198.79639,25.745493806830122,92.901410137455
syn_98,2023-11-04,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1220.8019,89.99694,50.597366,127.06611,25.14109577130296,93.12005212194343
syn_99,2016-09-07,Synthetic Demo Data,Synthetic landslide point for Dima Hasao demonstration,True,1,1091.0684,89.99792,91.107796,184.00609,25.576732479036373,92.69657556426
